slot,action,sample_ready,channel_success,weighted_aoi,aoi_0,aoi_1,aoi_2
622,1,1,0,43.0,5,13,4
623,0,1,1,44.0,1,14,5
624,1,1,1,22.0,2,1,6
625,0,1,1,26.0,1,2,7
626,0,1,1,31.0,1,3,8
627,0,1,1,36.0,1,4,9
628,0,1,1,41.0,1,5,10
629,1,1,1,37.0,2,1,11
630,2,1,0,43.0,3,2,12
631,1,1,1,45.0,4,1,13
632,0,1,1,47.0,1,2,14
633,1,1,0,53.0,2,3,15
634,1,1,0,59.0,3,4,16
635,0,1,1,62.0,1,5,17
636,0,1,1,67.0,1,6,18
637,1,1,1,61.0,2,1,19
638,1,0,0,67.0,3,2,20
639,2,1,0,73.0,4,3,21
640,1,1,0,79.0,5,4,22
641,2,1,1,19.0,6,5,1
642,2,1,1,22.0,7,6,1
643,1,1,1,16.0,8,1,2
644,1,1,1,20.0,9,1,3
645,1,1,1,24.0,10,1,4
646,2,0,0,30.0,11,2,5
647,2,1,1,21.0,12,3,1
648,0,1,0,27.0,13,4,2
649,0,1,1,20.0,1,5,3
650,2,1,1,17.0,2,6,1
651,0,1,1,21.0,1,7,2
652,1,1,1,13.0,2,1,3
653,0,1,1,17.0,1,2,4
654,2,1,1,11.0,2,3,1
655,2,0,0,17.0,3,4,2
656,1,0,0,23.0,4,5,3
657,1,0,0,29.0,5,6,4
658,1,1,1,23.0,6,1,5
659,0,1,1,23.0,1,2,6
660,1,1,1,25.0,2,1,7
661,0,1,1,29.0,1,2,8
662,0,1,1,34.0,1,3,9
663,1,1,0,40.0,2,4,10
664,0,1,1,44.0,1,5,11
665,1,1,1,40.0,2,1,12
666,0,1,1,44.0,1,2,13
667,1,1,1,46.0,2,1,14
668,1,1,1,50.0,3,1,15
669,1,1,1,54.0,4,1,16
670,0,1,1,56.0,1,2,17
671,2,1,1,11.0,2,3,1
672,0,1,1,15.0,1,4,2
673,1,1,0,21.0,2,5,3
674,0,1,1,25.0,1,6,4
675,1,1,1,19.0,2,1,5
676,2,1,1,10.0,3,2,1
677,2,1,1,13.0,4,3,1
678,0,1,1,15.0,1,4,2
679,2,1,1,15.0,2,5,1
680,2,1,1,18.0,3,6,1
681,2,1,1,21.0,4,7,1
682,2,1,0,27.0,5,8,2
683,0,1,1,28.0,1,9,3
684,2,1,1,25.0,2,10,1
685,0,1,1,29.0,1,11,2
686,1,1,0,35.0,2,12,3
687,1,1,1,17.0,3,1,4
688,0,1,1,20.0,1,2,5
689,1,0,0,26.0,2,3,6
690,2,1,1,14.0,3,4,1
691,2,0,0,20.0,4,5,2
692,2,1,1,20.0,5,6,1
693,2,0,0,26.0,6,7,2
694,2,1,1,26.0,7,8,1
695,2,1,1,29.0,8,9,1
696,2,0,0,35.0,9,10,2
697,0,1,1,32.0,1,11,3
698,1,0,0,38.0,2,12,4
699,0,1,1,42.0,1,13,5
700,2,1,1,33.0,2,14,1
701,0,1,1,37.0,1,15,2
702,0,1,1,42.0,1,16,3
703,2,1,1,39.0,2,17,1
704,2,1,1,42.0,3,18,1
705,0,1,1,45.0,1,19,2
706,0,1,1,50.0,1,20,3
707,2,1,0,56.0,2,21,4
708,2,1,0,62.0,3,22,5
709,1,1,1,24.0,4,1,6
710,0,0,0,30.0,5,2,7
711,2,1,1,15.0,6,3,1
712,0,1,1,15.0,1,4,2
713,0,1,1,20.0,1,5,3
714,0,1,1,25.0,1,6,4
715,0,1,1,30.0,1,7,5
716,1,1,0,36.0,2,8,6
717,1,1,1,26.0,3,1,7
718,0,1,1,29.0,1,2,8
719,0,1,1,34.0,1,3,9
720,0,1,0,40.0,2,4,10
721,1,1,1,38.0,3,1,11
722,0,1,1,41.0,1,2,12
723,0,1,1,46.0,1,3,13
724,0,1,1,51.0,1,4,14
725,2,1,1,15.0,2,5,1
726,0,1,1,19.0,1,6,2
727,2,1,1,19.0,2,7,1
728,0,1,1,23.0,1,8,2
729,0,1,1,28.0,1,9,3
730,0,1,1,33.0,1,10,4
731,1,0,0,39.0,2,11,5
732,1,1,1,23.0,3,1,6
