slot,action,sample_ready,channel_success,weighted_aoi,aoi_0,aoi_1,aoi_2
386,2,0,0,25.0,9,2,4
387,2,1,0,31.0,10,3,5
388,2,0,0,37.0,11,4,6
389,2,0,0,43.0,12,5,7
390,2,1,0,49.0,13,6,8
391,2,1,1,31.0,14,7,1
392,1,1,0,37.0,15,8,2
393,1,1,1,27.0,16,1,3
394,0,1,1,17.0,1,2,4
395,2,1,1,11.0,2,3,1
396,1,1,1,11.0,3,1,2
397,2,0,0,17.0,4,2,3
398,2,1,0,23.0,5,3,4
399,2,1,1,17.0,6,4,1
400,1,1,1,15.0,7,1,2
401,0,1,1,14.0,1,2,3
402,2,0,0,20.0,2,3,4
403,2,1,0,26.0,3,4,5
404,2,0,0,32.0,4,5,6
405,2,0,0,38.0,5,6,7
406,2,0,0,44.0,6,7,8
407,2,0,0,50.0,7,8,9
408,2,1,1,29.0,8,9,1
409,1,1,1,17.0,9,1,2
410,0,1,1,14.0,1,2,3
411,2,1,1,11.0,2,3,1
412,1,1,1,11.0,3,1,2
413,2,1,0,17.0,4,2,3
414,2,1,0,23.0,5,3,4
415,2,1,0,29.0,6,4,5
416,2,1,1,20.0,7,5,1
417,1,1,0,26.0,8,6,2
418,1,1,1,20.0,9,1,3
419,2,0,0,26.0,10,2,4
420,2,1,1,20.0,11,3,1
421,0,1,1,15.0,1,4,2
422,1,1,1,13.0,2,1,3
423,2,0,0,19.0,3,2,4
424,2,0,0,25.0,4,3,5
425,2,0,0,31.0,5,4,6
426,2,0,0,37.0,6,5,7
427,2,0,0,43.0,7,6,8
428,2,0,0,49.0,8,7,9
429,2,1,1,28.0,9,8,1
430,1,0,0,34.0,10,9,2
431,1,1,1,22.0,11,1,3
432,0,1,1,17.0,1,2,4
433,2,1,0,23.0,2,3,5
434,2,1,1,14.0,3,4,1
435,1,1,1,12.0,4,1,2
436,2,1,0,18.0,5,2,3
437,2,1,0,24.0,6,3,4
438,2,0,0,30.0,7,4,5
439,2,1,0,36.0,8,5,6
440,2,0,0,42.0,9,6,7
441,2,1,1,27.0,10,7,1
442,1,1,0,33.0,11,8,2
443,1,0,0,39.0,12,9,3
444,1,1,1,27.0,13,1,4
445,0,1,1,20.0,1,2,5
446,2,1,1,11.0,2,3,1
447,1,0,0,17.0,3,4,2
448,1,1,1,15.0,4,1,3
449,2,0,0,21.0,5,2,4
450,2,1,1,15.0,6,3,1
451,1,1,1,15.0,7,1,2
452,0,1,1,14.0,1,2,3
453,2,1,1,11.0,2,3,1
454,1,1,0,17.0,3,4,2
455,1,0,0,23.0,4,5,3
456,1,0,0,29.0,5,6,4
457,2,1,0,35.0,6,7,5
458,2,0,0,41.0,7,8,6
459,2,1,1,29.0,8,9,1
460,1,1,1,17.0,9,1,2
461,0,1,1,14.0,1,2,3
462,2,0,0,20.0,2,3,4
463,2,1,0,26.0,3,4,5
464,2,1,0,32.0,4,5,6
465,2,1,1,20.0,5,6,1
466,1,1,1,14.0,6,1,2
467,2,0,0,20.0,7,2,3
468,2,1,0,26.0,8,3,4
469,2,1,1,20.0,9,4,1
470,0,1,1,17.0,1,5,2
471,1,1,0,23.0,2,6,3
472,1,1,1,17.0,3,1,4
473,2,1,1,11.0,4,2,1
474,1,1,1,13.0,5,1,2
475,2,1,1,13.0,6,2,1
476,0,1,1,13.0,1,3,2
477,2,1,0,19.0,2,4,3
478,2,1,1,16.0,3,5,1
479,1,0,0,22.0,4,6,2
480,1,1,1,16.0,5,1,3
481,2,1,1,13.0,6,2,1
482,0,1,1,13.0,1,3,2
483,2,1,1,13.0,2,4,1
484,1,1,1,11.0,3,1,2
485,2,1,1,11.0,4,2,1
486,1,1,1,13.0,5,1,2
487,2,0,0,19.0,6,2,3
488,2,1,1,16.0,7,3,1
489,0,1,1,15.0,1,4,2
490,1,1,1,13.0,2,1,3
491,2,1,1,10.0,3,2,1
492,1,1,1,12.0,4,1,2
493,2,0,0,18.0,5,2,3
494,2,1,1,15.0,6,3,1
495,1,1,1,15.0,7,1,2
496,0,1,1,14.0,1,2,3
497,2,1,1,11.0,2,3,1
498,1,1,1,11.0,3,1,2
499,2,1,1,11.0,4,2,1
500,1,1,1,13.0,5,1,2
501,2,1,0,19.0,6,2,3
502,2,1,0,25.0,7,3,4
503,2,0,0,31.0,8,4,5
504,2,1,1,22.0,9,5,1
505,1,1,1,18.0,10,1,2
506,0,0,0,24.0,11,2,3
507,0,1,1,19.0,1,3,4
508,2,1,0,25.0,2,4,5
509,2,1,0,31.0,3,5,6
510,2,1,0,37.0,4,6,7
511,2,1,1,22.0,5,7,1
512,1,1,1,14.0,6,1,2
513,2,1,1,14.0,7,2,1
